power_of_2;time_traversing_list;time_per_node;
5;2.19345e-07;6.85453e-09;
6;4.76837e-07;7.45058e-09;
7;9.34601e-07;7.30157e-09;
8;1.85013e-06;7.22706e-09;
9;3.68118e-06;7.18981e-09;
10;7.32422e-06;7.15256e-09;
11;1.47247e-05;7.18981e-09;
12;2.92969e-05;7.15256e-09;
13;5.88989e-05;7.18981e-09;
14;0.000118408;7.22706e-09;
15;0.000235596;7.18981e-09;
16;0.000471191;7.18981e-09;
17;0.000947266;7.22706e-09;
18;0.00189453;7.22706e-09;
19;0.00378906;7.22706e-09;
20;0.00769531;7.33882e-09;
21;0.0153906;7.33882e-09;
22;0.030625;7.30157e-09;
23;0.0615625;7.33882e-09;
24;0.12375;7.37607e-09;
25;0.24625;7.33882e-09;
26;0.49;7.30157e-09;
27;0.99;7.37607e-09;
28;1.97;7.33882e-09;
