power_of_2;time_traversing_list;time_per_node;
5;2.14577e-07;6.70552e-09;
6;4.76837e-07;7.45058e-09;
7;9.34601e-07;7.30157e-09;
8;1.85013e-06;7.22706e-09;
9;3.68118e-06;7.18981e-09;
10;7.36237e-06;7.18981e-09;
11;1.46484e-05;7.15256e-09;
12;2.94495e-05;7.18981e-09;
13;5.98145e-05;7.30157e-09;
14;0.000220337;1.34483e-08;
15;0.000441895;1.34856e-08;
16;0.00123535;1.885e-08;
17;0.00312012;2.38046e-08;
18;0.00635742;2.42516e-08;
19;0.0129883;2.47732e-08;
20;0.055;5.24521e-08;
21;0.157344;7.50273e-08;
22;0.369844;8.81776e-08;
23;0.791562;9.43616e-08;
24;1.675;9.98378e-08;
25;3.48875;1.03973e-07;
26;6.8375;1.01887e-07;
27;13.2;9.83477e-08;
28;26.29;9.79379e-08;
