power_of_2;time_traversing_list;time_per_node;
5;2.31266e-07;7.22706e-09;
6;4.74453e-07;7.41333e-09;
7;9.34601e-07;7.30157e-09;
8;1.85966e-06;7.26432e-09;
9;3.66211e-06;7.15256e-09;
10;7.40051e-06;7.22706e-09;
11;1.47247e-05;7.18981e-09;
12;2.92969e-05;7.15256e-09;
13;5.92041e-05;7.22706e-09;
14;0.000117187;7.15256e-09;
15;0.000235596;7.18981e-09;
16;0.000471191;7.18981e-09;
17;0.000942383;7.18981e-09;
18;0.001875;7.15256e-09;
19;0.00376953;7.18981e-09;
20;0.00757812;7.22706e-09;
21;0.0151562;7.22706e-09;
22;0.0304687;7.26432e-09;
23;0.0609375;7.26432e-09;
24;0.121875;7.26432e-09;
25;0.2425;7.22706e-09;
26;0.485;7.22706e-09;
27;0.975;7.26432e-09;
28;1.94;7.22706e-09;
