power_of_2;time_traversing_list;time_per_node;
5;2.14577e-07;6.70552e-09;
6;4.76837e-07;7.45058e-09;
7;9.34601e-07;7.30157e-09;
8;1.85013e-06;7.22706e-09;
9;3.68118e-06;7.18981e-09;
10;7.36237e-06;7.18981e-09;
11;1.47247e-05;7.18981e-09;
12;2.92969e-05;7.15256e-09;
13;5.95093e-05;7.26432e-09;
14;0.000220337;1.34483e-08;
15;0.000440674;1.34483e-08;
16;0.00123779;1.88872e-08;
17;0.00290527;2.21655e-08;
18;0.0059082;2.2538e-08;
19;0.0120898;2.30595e-08;
20;0.0505469;4.82053e-08;
21;0.134453;6.41122e-08;
22;0.301875;7.19726e-08;
23;0.643437;7.67037e-08;
24;1.33688;7.9684e-08;
25;2.6475;7.89016e-08;
26;5.255;7.83056e-08;
27;10.435;7.77468e-08;
28;21.02;7.83056e-08;
