power_of_2;time_traversing_list;time_per_node;
5;2.20537e-07;6.89179e-09;
6;4.88758e-07;7.63685e-09;
7;9.48906e-07;7.41333e-09;
8;1.87874e-06;7.33882e-09;
9;3.70026e-06;7.22706e-09;
10;7.40051e-06;7.22706e-09;
11;1.4801e-05;7.22706e-09;
12;2.94495e-05;7.18981e-09;
13;5.88989e-05;7.18981e-09;
14;4.3335e-05;2.64496e-09;
15;0.000255127;7.78586e-09;
16;0.000219727;3.35276e-09;
17;0.00219727;1.67638e-08;
18;0.00154297;5.88596e-09;
19;0.0144336;2.75299e-08;
20;0.0155469;1.48267e-08;
21;0.177969;8.48621e-08;
22;0.123125;2.93553e-08;
23;0.54875;6.54161e-08;
24;0.263125;1.56835e-08;
25;1.3575;4.04567e-08;
26;0;0;
27;8.295;6.18026e-08;
28;9;3.35276e-08;
