power_of_2;time_traversing_list;time_per_node;
5;2.18153e-07;6.81728e-09;
6;4.76837e-07;7.45058e-09;
7;9.39369e-07;7.33882e-09;
8;1.84059e-06;7.18981e-09;
9;3.68118e-06;7.18981e-09;
10;7.36237e-06;7.18981e-09;
11;1.47247e-05;7.18981e-09;
12;2.94495e-05;7.18981e-09;
13;5.95093e-05;7.26432e-09;
14;0.000148926;9.08971e-09;
15;0.000297852;9.08971e-09;
16;0.000605469;9.23872e-09;
17;0.00122559;9.35048e-09;
18;0.00245117;9.35048e-09;
19;0.00492188;9.38773e-09;
20;0.0103906;9.90927e-09;
21;0.0219531;1.04681e-08;
22;0.0453125;1.08033e-08;
23;0.0903125;1.07661e-08;
24;0.180625;1.07661e-08;
25;0.36;1.07288e-08;
26;0.7225;1.07661e-08;
27;1.44;1.07288e-08;
28;2.88;1.07288e-08;
