power_of_2;time_traversing_list;time_per_node;
5;2.19345e-07;6.85453e-09;
6;4.86374e-07;7.59959e-09;
7;9.48906e-07;7.41333e-09;
8;1.8692e-06;7.30157e-09;
9;3.71933e-06;7.26432e-09;
10;7.40051e-06;7.22706e-09;
11;1.48773e-05;7.26432e-09;
12;2.94495e-05;7.18981e-09;
13;5.85937e-05;7.15256e-09;
14;0.000117798;7.18981e-09;
15;0.000235596;7.18981e-09;
16;0.000183105;2.79397e-09;
17;0.00106445;8.12113e-09;
18;0.000429688;1.63913e-09;
19;0.00902344;1.72108e-08;
20;0.00078125;7.45058e-10;
21;0.150234;7.16373e-08;
22;0.0692187;1.6503e-08;
23;0.782188;9.3244e-08;
24;0.18875;1.12504e-08;
25;3.70125;1.10306e-07;
26;2.5375;3.78117e-08;
27;15.16;1.12951e-07;
28;11.54;4.29899e-08;
