power_of_2;time_traversing_list;time_per_node;
5;2.18153e-07;6.81728e-09;
6;4.86374e-07;7.59959e-09;
7;9.48906e-07;7.41333e-09;
8;1.8692e-06;7.30157e-09;
9;3.71933e-06;7.26432e-09;
10;7.36237e-06;7.18981e-09;
11;1.4801e-05;7.22706e-09;
12;2.94495e-05;7.18981e-09;
13;5.88989e-05;7.18981e-09;
14;0.000117798;7.18981e-09;
15;0.000235596;7.18981e-09;
16;0.000471191;7.18981e-09;
17;0.000942383;7.18981e-09;
18;0.00188477;7.18981e-09;
19;0.004375;8.34465e-09;
20;0.00179688;1.71363e-09;
21;0.0475;2.26498e-08;
22;0.102813;2.45124e-08;
23;0.545312;6.50063e-08;
24;0.025;1.49012e-09;
25;3.87625;1.15521e-07;
26;7.7175;1.15e-07;
27;15.62;1.16378e-07;
28;6.75;2.51457e-08;
