power_of_2;time_traversing_list;time_per_node;
5;2.19345e-07;6.85453e-09;
6;4.86374e-07;7.59959e-09;
7;9.48906e-07;7.41333e-09;
8;1.8692e-06;7.30157e-09;
9;3.71933e-06;7.26432e-09;
10;7.40051e-06;7.22706e-09;
11;1.47247e-05;7.18981e-09;
12;2.94495e-05;7.18981e-09;
13;5.92041e-05;7.22706e-09;
14;0.000117798;7.18981e-09;
15;0.000235596;7.18981e-09;
16;0.000473633;7.22706e-09;
17;0.000942383;7.18981e-09;
18;0.00188477;7.18981e-09;
19;0.00378906;7.22706e-09;
20;0.00296875;2.83122e-09;
21;0.018125;8.64267e-09;
22;0.0315625;7.52509e-09;
23;0.230313;2.74554e-08;
24;0.33375;1.98931e-08;
25;3.635;1.08331e-07;
26;2.615;3.89665e-08;
27;16.06;1.19656e-07;
28;11.02;4.10527e-08;
