power_of_2;time_traversing_list;time_per_node;
5;2.19345e-07;6.85453e-09;
6;4.86374e-07;7.59959e-09;
7;9.44138e-07;7.37607e-09;
8;1.87874e-06;7.33882e-09;
9;3.70026e-06;7.22706e-09;
10;7.40051e-06;7.22706e-09;
11;1.4801e-05;7.22706e-09;
12;2.94495e-05;7.18981e-09;
13;5.95093e-05;7.26432e-09;
14;0.000148926;9.08971e-09;
15;0.000350342;1.06916e-08;
16;5.61523e-05;8.56817e-10;
17;0.00225098;1.71736e-08;
18;0.00564453;2.15322e-08;
19;0.014668;2.79769e-08;
20;0.0633984;6.04615e-08;
21;0.126016;6.00889e-08;
22;0.183594;4.37722e-08;
23;0.296563;3.5353e-08;
24;0;0;
25;1.30375;3.88548e-08;
26;3.26;4.85778e-08;
27;11.19;8.3372e-08;
28;26.55;9.89065e-08;
