power_of_2;time_traversing_list;time_per_node;
5;2.19345e-07;6.85453e-09;
6;4.86374e-07;7.59959e-09;
7;9.48906e-07;7.41333e-09;
8;1.8692e-06;7.30157e-09;
9;3.71933e-06;7.26432e-09;
10;7.40051e-06;7.22706e-09;
11;1.47247e-05;7.18981e-09;
12;2.94495e-05;7.18981e-09;
13;5.88989e-05;7.18981e-09;
14;0.000117798;7.18981e-09;
15;0.000235596;7.18981e-09;
16;0.000471191;7.18981e-09;
17;0.00108887;8.3074e-09;
18;0.00213867;8.15839e-09;
19;0.00777344;1.48267e-08;
20;0.0269141;2.56673e-08;
21;0.0789844;3.76627e-08;
22;0.405625;9.67085e-08;
23;0.809063;9.64478e-08;
24;1.59187;9.48831e-08;
25;3.625;1.08033e-07;
26;7.775;1.15857e-07;
27;16.32;1.21593e-07;
28;36.59;1.36308e-07;
