power_of_2;time_traversing_list;time_per_node;
5;2.18153e-07;6.81728e-09;
6;4.86374e-07;7.59959e-09;
7;9.48906e-07;7.41333e-09;
8;1.8692e-06;7.30157e-09;
9;3.70026e-06;7.22706e-09;
10;7.43866e-06;7.26432e-09;
11;1.4801e-05;7.22706e-09;
12;2.96021e-05;7.22706e-09;
13;5.92041e-05;7.22706e-09;
14;0.000117798;7.18981e-09;
15;0.000268555;8.19564e-09;
16;0.00010498;1.60187e-09;
17;0.00192383;1.46776e-08;
18;0.00453125;1.72853e-08;
19;0.00980469;1.8701e-08;
20;0.00984375;9.38773e-09;
21;0.0883594;4.2133e-08;
22;0.400781;9.55537e-08;
23;0.840313;1.00173e-07;
24;0.3275;1.95205e-08;
25;2.365;7.04825e-08;
26;4.6;6.85453e-08;
27;8.32;6.19888e-08;
28;0;0;
