power_of_2;time_traversing_list;time_per_node;
1;0.246;7.33137e-09;
2;0.25;7.45058e-09;
3;0.27;8.04663e-09;
4;0.374;1.11461e-08;
5;0.592;1.7643e-08;
6;1.362;4.05908e-08;
7;1.531;4.56274e-08;
8;1.468;4.37498e-08;
9;2.543;7.57873e-08;
10;3.226;9.61423e-08;
11;2.222;6.62208e-08;
12;1.31;3.9041e-08;
13;1.343;4.00245e-08;
14;2.243;6.68466e-08;
15;3.632;1.08242e-07;
16;3.571;1.06424e-07;
17;3.396;1.01209e-07;
18;3.686;1.09851e-07;
19;3.613;1.07676e-07;
