power_of_2;time_traversing_list;time_per_node;
5;2.13385e-07;6.66827e-09;
6;4.74453e-07;7.41333e-09;
7;9.34601e-07;7.30157e-09;
8;1.85013e-06;7.22706e-09;
9;3.70026e-06;7.22706e-09;
10;7.32422e-06;7.15256e-09;
11;1.4801e-05;7.22706e-09;
12;2.92969e-05;7.15256e-09;
13;6.04248e-05;7.37607e-09;
14;0.000163574;9.98378e-09;
15;0.000327148;9.98378e-09;
16;0.000864258;1.31875e-08;
17;0.00226562;1.72853e-08;
18;0.00464844;1.77324e-08;
19;0.009375;1.78814e-08;
20;0.0299609;2.8573e-08;
21;0.0882813;4.20958e-08;
22;0.191094;4.55603e-08;
23;0.369063;4.39957e-08;
24;0.755;4.50015e-08;
25;1.5025;4.4778e-08;
26;2.98;4.44055e-08;
27;5.905;4.39957e-08;
28;11.93;4.44427e-08;
