power_of_2;time_traversing_list;time_per_node;
5;2.18153e-07;6.81728e-09;
6;4.76837e-07;7.45058e-09;
7;9.34601e-07;7.30157e-09;
8;1.85013e-06;7.22706e-09;
9;3.68118e-06;7.18981e-09;
10;7.32422e-06;7.15256e-09;
11;1.46484e-05;7.15256e-09;
12;2.94495e-05;7.18981e-09;
13;6.04248e-05;7.37607e-09;
14;0.00015625;9.53674e-09;
15;0.000311279;9.49949e-09;
16;0.00081543;1.24425e-08;
17;0.00196289;1.49757e-08;
18;0.00397461;1.51619e-08;
19;0.00804688;1.53482e-08;
20;0.0270312;2.5779e-08;
21;0.0824219;3.93018e-08;
22;0.182969;4.36231e-08;
23;0.3725;4.44055e-08;
24;0.7375;4.39584e-08;
25;1.4725;4.38839e-08;
26;2.9475;4.39212e-08;
27;5.865;4.36977e-08;
28;11.81;4.39957e-08;
