power_of_2;time_traversing_list;time_per_node;
5;2.19345e-07;6.85453e-09;
6;4.76837e-07;7.45058e-09;
7;9.29832e-07;7.26432e-09;
8;1.85966e-06;7.26432e-09;
9;3.68118e-06;7.18981e-09;
10;7.36237e-06;7.18981e-09;
11;1.47247e-05;7.18981e-09;
12;2.92969e-05;7.15256e-09;
13;5.92041e-05;7.22706e-09;
14;0.000118408;7.22706e-09;
15;0.000236816;7.22706e-09;
16;0.000473633;7.22706e-09;
17;0.000957031;7.30157e-09;
18;0.00191406;7.30157e-09;
19;0.00382812;7.30157e-09;
20;0.00789063;7.52509e-09;
21;0.0161719;7.71135e-09;
22;0.0326562;7.78586e-09;
23;0.065625;7.82311e-09;
24;0.13125;7.82311e-09;
25;0.2625;7.82311e-09;
26;0.525;7.82311e-09;
27;1.045;7.78586e-09;
28;2.09;7.78586e-09;
