power_of_2;time_traversing_list;time_per_node;
5;2.15769e-07;6.74278e-09;
6;4.74453e-07;7.41333e-09;
7;9.34601e-07;7.30157e-09;
8;1.85013e-06;7.22706e-09;
9;3.68118e-06;7.18981e-09;
10;7.36237e-06;7.18981e-09;
11;1.46484e-05;7.15256e-09;
12;2.92969e-05;7.15256e-09;
13;6.04248e-05;7.37607e-09;
14;0.000152588;9.31323e-09;
15;0.000305176;9.31323e-09;
16;0.000800781;1.2219e-08;
17;0.00180664;1.37836e-08;
18;0.00363281;1.38581e-08;
19;0.00730469;1.39326e-08;
20;0.0238281;2.27243e-08;
21;0.0732031;3.4906e-08;
22;0.16125;3.8445e-08;
23;0.332813;3.96743e-08;
24;0.67375;4.01586e-08;
25;1.35625;4.04194e-08;
26;2.705;4.03076e-08;
27;5.4;4.02331e-08;
28;10.82;4.03076e-08;
