power_of_2;time_traversing_list;time_per_node;
5;2.19345e-07;6.85453e-09;
6;4.86374e-07;7.59959e-09;
7;9.48906e-07;7.41333e-09;
8;1.87874e-06;7.33882e-09;
9;3.70026e-06;7.22706e-09;
10;7.40051e-06;7.22706e-09;
11;1.4801e-05;7.22706e-09;
12;2.94495e-05;7.18981e-09;
13;5.88989e-05;7.18981e-09;
14;0.000117798;7.18981e-09;
15;0.000234375;7.15256e-09;
16;0.000473633;7.22706e-09;
17;0.000942383;7.18981e-09;
18;0.000732422;2.79397e-09;
19;0.00431641;8.23289e-09;
20;0.00808594;7.71135e-09;
21;0.0497656;2.37301e-08;
22;0.0446875;1.06543e-08;
23;0.81375;9.70066e-08;
24;0.56625;3.37511e-08;
25;3.565;1.06245e-07;
26;2.5325;3.77372e-08;
27;16.03;1.19433e-07;
28;11.77;4.38467e-08;
