power_of_2;time_traversing_list;time_per_node;
5;2.13385e-07;6.66827e-09;
6;4.74453e-07;7.41333e-09;
7;9.29832e-07;7.26432e-09;
8;1.85966e-06;7.26432e-09;
9;3.68118e-06;7.18981e-09;
10;7.32422e-06;7.15256e-09;
11;1.47247e-05;7.18981e-09;
12;2.92969e-05;7.15256e-09;
13;5.98145e-05;7.30157e-09;
14;0.000150757;9.20147e-09;
15;0.000305176;9.31323e-09;
16;0.000632324;9.6485e-09;
17;0.00131836;1.00583e-08;
18;0.00263672;1.00583e-08;
19;0.00533203;1.017e-08;
20;0.0141406;1.34856e-08;
21;0.0350781;1.67266e-08;
22;0.0710937;1.69501e-08;
23;0.1425;1.69873e-08;
24;0.285625;1.70246e-08;
25;0.57;1.69873e-08;
26;1.1375;1.69501e-08;
27;2.275;1.69501e-08;
28;4.56;1.69873e-08;
